base_candidate,subject_id,parameter,grid_value_u,grid_value,logrmse,solver_success
V2R-PS,p003,f_mel,0.0,0.0,0.6274088290572309,True
V2R-PS,p003,f_mel,0.02,0.0086,0.5411170367309106,True
V2R-PS,p003,f_mel,0.04,0.0172,0.4591556868335907,True
V2R-PS,p003,f_mel,0.06,0.0258,0.38152328483993175,True
V2R-PS,p003,f_mel,0.08,0.0344,0.30847080160920576,True
V2R-PS,p003,f_mel,0.1,0.043000000000000003,0.24062680794466998,True
V2R-PS,p003,f_mel,0.12,0.0516,0.178245645043959,True
V2R-PS,p003,f_mel,0.14,0.060200000000000004,0.12235457454148636,True
V2R-PS,p003,f_mel,0.16,0.0688,0.07703959180991538,True
V2R-PS,p003,f_mel,0.18,0.0774,0.0566807729878602,True
V2R-PS,p003,f_mel,0.18726732534879292,0.08052494989998095,0.05545280993257014,True
V2R-PS,p003,f_mel,0.2,0.08600000000000001,0.059242741441661764,True
V2R-PS,p003,f_mel,0.22,0.0946,0.07788256122619644,True
V2R-PS,p003,f_mel,0.24,0.1032,0.10748132225258489,True
V2R-PS,p003,f_mel,0.26,0.1118,0.14305538771020906,True
V2R-PS,p003,f_mel,0.28,0.12040000000000001,0.18238447215679993,True
V2R-PS,p003,f_mel,0.3,0.129,0.22663845531594837,True
V2R-PS,p003,f_mel,0.32,0.1376,0.27489759673879044,True
V2R-PS,p003,f_mel,0.34,0.1462,0.32442610815713135,True
V2R-PS,p003,f_mel,0.36,0.1548,0.37397351821118985,True
V2R-PS,p003,f_mel,0.38,0.1634,0.4229411047020766,True
V2R-PS,p003,f_mel,0.4,0.17200000000000001,0.47103204266354404,True
V2R-PS,p003,f_mel,0.42,0.18059999999999998,0.5180994028601767,True
V2R-PS,p003,f_mel,0.44,0.1892,0.5640752130994192,True
V2R-PS,p003,f_mel,0.46,0.1978,0.6089350122746838,True
V2R-PS,p003,f_mel,0.48,0.2064,0.6526790677341634,True
V2R-PS,p003,f_mel,0.5,0.215,0.6953219267607955,True
V2R-PS,p003,f_mel,0.52,0.2236,0.7368863714429293,True
V2R-PS,p003,f_mel,0.54,0.23220000000000002,0.7773998116190635,True
V2R-PS,p003,f_mel,0.56,0.24080000000000001,0.8168920823050841,True
V2R-PS,p003,f_mel,0.58,0.24939999999999998,0.8553940776032091,True
V2R-PS,p003,f_mel,0.6,0.258,0.8929368968258893,True
V2R-PS,p003,f_mel,0.62,0.2666,0.9295513114957658,True
V2R-PS,p003,f_mel,0.64,0.2752,0.9652674370440018,True
V2R-PS,p003,f_mel,0.66,0.2838,1.0001145369033688,True
V2R-PS,p003,f_mel,0.68,0.2924,1.034120913034432,True
V2R-PS,p003,f_mel,0.7000000000000001,0.30100000000000005,1.067313853137867,True
V2R-PS,p003,f_mel,0.72,0.3096,1.09971961500778,True
V2R-PS,p003,f_mel,0.74,0.3182,1.13136343502682,True
V2R-PS,p003,f_mel,0.76,0.3268,1.162269552074742,True
V2R-PS,p003,f_mel,0.78,0.33540000000000003,1.192461240951285,True
V2R-PS,p003,f_mel,0.8,0.34400000000000003,1.2219608513123517,True
V2R-PS,p003,f_mel,0.8200000000000001,0.3526,1.2507898494059642,True
V2R-PS,p003,f_mel,0.84,0.36119999999999997,1.2789688607757805,True
V2R-PS,p003,f_mel,0.86,0.36979999999999996,1.3065177127075966,True
V2R-PS,p003,f_mel,0.88,0.3784,1.3334554756154229,True
V2R-PS,p003,f_mel,0.9,0.387,1.3598005028566273,True
V2R-PS,p003,f_mel,0.92,0.3956,1.3855704686694867,True
V2R-PS,p003,f_mel,0.9400000000000001,0.4042,1.4107824040681474,True
V2R-PS,p003,f_mel,0.96,0.4128,1.43545273062788,True
V2R-PS,p003,f_mel,0.98,0.4214,1.459597292160539,True
V2R-PS,p003,f_mel,1.0,0.43,1.4832313843252347,True
V2R-PS,p003,f_blood,0.0,0.0,0.13523091566122505,True
V2R-PS,p003,f_blood,0.02,0.002,0.12334201596266767,True
V2R-PS,p003,f_blood,0.04,0.004,0.11488316017180768,True
V2R-PS,p003,f_blood,0.06,0.006,0.10813673679258569,True
V2R-PS,p003,f_blood,0.08,0.008,0.10248039352940287,True
V2R-PS,p003,f_blood,0.1,0.010000000000000002,0.09760093365060717,True
V2R-PS,p003,f_blood,0.12,0.012,0.09331432796156298,True
V2R-PS,p003,f_blood,0.14,0.014000000000000002,0.08950145724919137,True
V2R-PS,p003,f_blood,0.16,0.016,0.08607990903491339,True
V2R-PS,p003,f_blood,0.18,0.018,0.08298981717236803,True
V2R-PS,p003,f_blood,0.2,0.020000000000000004,0.08018603507209135,True
V2R-PS,p003,f_blood,0.22,0.022000000000000002,0.07763348496664584,True
V2R-PS,p003,f_blood,0.24,0.024,0.0753042337222635,True
V2R-PS,p003,f_blood,0.26,0.026000000000000002,0.07317556897912093,True
V2R-PS,p003,f_blood,0.28,0.028000000000000004,0.0712286856152166,True
V2R-PS,p003,f_blood,0.3,0.03,0.06944776091394385,True
V2R-PS,p003,f_blood,0.32,0.032,0.06781928645468711,True
V2R-PS,p003,f_blood,0.34,0.034,0.06633157495454317,True
V2R-PS,p003,f_blood,0.36,0.036,0.06497438964652621,True
V2R-PS,p003,f_blood,0.38,0.038000000000000006,0.06373866158556915,True
V2R-PS,p003,f_blood,0.4,0.04000000000000001,0.0626162714190854,True
V2R-PS,p003,f_blood,0.42,0.042,0.06159987932818791,True
V2R-PS,p003,f_blood,0.44,0.044000000000000004,0.060682791568689824,True
V2R-PS,p003,f_blood,0.46,0.046000000000000006,0.059858855219101705,True
V2R-PS,p003,f_blood,0.48,0.048,0.05912237492310957,True
V2R-PS,p003,f_blood,0.5,0.05,0.05846804693751405,True
V2R-PS,p003,f_blood,0.52,0.052000000000000005,0.05789090688084978,True
V2R-PS,p003,f_blood,0.54,0.054000000000000006,0.057386288364486567,True
V2R-PS,p003,f_blood,0.56,0.05600000000000001,0.056949790270506825,True
V2R-PS,p003,f_blood,0.58,0.057999999999999996,0.05657725088169077,True
V2R-PS,p003,f_blood,0.6,0.06,0.05626472741069434,True
V2R-PS,p003,f_blood,0.62,0.062,0.05600847974647472,True
V2R-PS,p003,f_blood,0.64,0.064,0.05580495745546912,True
V2R-PS,p003,f_blood,0.66,0.066,0.055650789255910355,True
V2R-PS,p003,f_blood,0.68,0.068,0.05554277433470672,True
V2R-PS,p003,f_blood,0.7000000000000001,0.07,0.05547787500340106,True
V2R-PS,p003,f_blood,0.72,0.072,0.05545321029691649,True
V2R-PS,p003,f_blood,0.7229328645400039,0.07229328645400039,0.05545280993256985,True
V2R-PS,p003,f_blood,0.74,0.074,0.055466050208962905,True
V2R-PS,p003,f_blood,0.76,0.07600000000000001,0.05551381033330509,True
V2R-PS,p003,f_blood,0.78,0.07800000000000001,0.05559404674233605,True
V2R-PS,p003,f_blood,0.8,0.08000000000000002,0.055704450985096354,True
V2R-PS,p003,f_blood,0.8200000000000001,0.08200000000000002,0.055842845127433455,True
V2R-PS,p003,f_blood,0.84,0.084,0.056007176788730226,True
V2R-PS,p003,f_blood,0.86,0.08600000000000001,0.056195514153802896,True
V2R-PS,p003,f_blood,0.88,0.08800000000000001,0.05640604095635747,True
V2R-PS,p003,f_blood,0.9,0.09000000000000001,0.05663705144289435,True
V2R-PS,p003,f_blood,0.92,0.09200000000000001,0.0568869453341755,True
V2R-PS,p003,f_blood,0.9400000000000001,0.09400000000000001,0.05715422280619,True
V2R-PS,p003,f_blood,0.96,0.096,0.05743747951477182,True
V2R-PS,p003,f_blood,0.98,0.098,0.05773540168828756,True
V2R-PS,p003,f_blood,1.0,0.1,0.058046761311683355,True
V2R-PS,p003,s,0.0,0.0,0.08049318656430655,True
V2R-PS,p003,s,0.02,0.02,0.07991764159658918,True
V2R-PS,p003,s,0.04,0.04,0.07933536175323555,True
V2R-PS,p003,s,0.06,0.06,0.07874631654434618,True
V2R-PS,p003,s,0.08,0.08,0.07815048591486257,True
V2R-PS,p003,s,0.1,0.1,0.07754786185492235,True
V2R-PS,p003,s,0.12,0.12,0.07693845022498691,True
V2R-PS,p003,s,0.14,0.14,0.0763222728284043,True
V2R-PS,p003,s,0.16,0.16,0.07569936976280556,True
V2R-PS,p003,s,0.18,0.18,0.0750698020908254,True
V2R-PS,p003,s,0.2,0.2,0.07443365487404727,True
V2R-PS,p003,s,0.22,0.22,0.07379104062125622,True
V2R-PS,p003,s,0.24,0.24,0.0731421032088449,True
V2R-PS,p003,s,0.26,0.26,0.07248702234048814,True
V2R-PS,p003,s,0.28,0.28,0.07182601862123482,True
V2R-PS,p003,s,0.3,0.3,0.07115935933336308,True
V2R-PS,p003,s,0.32,0.32,0.07048736501238603,True
V2R-PS,p003,s,0.34,0.34,0.06981041693509797,True
V2R-PS,p003,s,0.36,0.36,0.0691289656471277,True
V2R-PS,p003,s,0.38,0.38,0.06844354067350843,True
V2R-PS,p003,s,0.4,0.4,0.06775476157321807,True
V2R-PS,p003,s,0.42,0.42,0.06706335051814101,True
V2R-PS,p003,s,0.44,0.44,0.06637014659620692,True
V2R-PS,p003,s,0.46,0.46,0.06567612205746057,True
V2R-PS,p003,s,0.48,0.48,0.06498240074015502,True
V2R-PS,p003,s,0.5,0.5,0.06429027892809111,True
V2R-PS,p003,s,0.52,0.52,0.06360124889898046,True
V2R-PS,p003,s,0.54,0.54,0.06291702542146964,True
V2R-PS,p003,s,0.56,0.56,0.06223957544088867,True
V2R-PS,p003,s,0.58,0.58,0.061571151151661965,True
V2R-PS,p003,s,0.6,0.6,0.060914326578258224,True
V2R-PS,p003,s,0.62,0.62,0.060272037660481025,True
V2R-PS,p003,s,0.64,0.64,0.05964762564479339,True
V2R-PS,p003,s,0.66,0.66,0.05904488329594679,True
V2R-PS,p003,s,0.68,0.68,0.058468103030927386,True
V2R-PS,p003,s,0.7000000000000001,0.7000000000000001,0.05792212550337563,True
V2R-PS,p003,s,0.72,0.72,0.05741238638596336,True
V2R-PS,p003,s,0.74,0.74,0.05694495806481659,True
V2R-PS,p003,s,0.76,0.76,0.05652658162914052,True
V2R-PS,p003,s,0.78,0.78,0.05616468288182243,True
V2R-PS,p003,s,0.8,0.8,0.05586736411989612,True
V2R-PS,p003,s,0.8200000000000001,0.8200000000000001,0.05564336121584867,True
V2R-PS,p003,s,0.84,0.84,0.05550195327699573,True
V2R-PS,p003,s,0.8599475442583379,0.8599475442583379,0.05545280993256984,True
V2R-PS,p003,s,0.86,0.86,0.05545281028300342,True
V2R-PS,p003,s,0.88,0.88,0.05550576332646766,True
V2R-PS,p003,s,0.9,0.9,0.055670483557149424,True
V2R-PS,p003,s,0.92,0.92,0.055956061278639994,True
V2R-PS,p003,s,0.9400000000000001,0.9400000000000001,0.05637048779695125,True
V2R-PS,p003,s,0.96,0.96,0.056920061175846415,True
V2R-PS,p003,s,0.98,0.98,0.05760876290540811,True
V2R-PS,p003,s,1.0,1.0,0.05843768175893635,True
V2R-PS,p004,f_mel,0.0,0.0,0.7381784461374968,True
V2R-PS,p004,f_mel,0.02,0.0086,0.6514375899576057,True
V2R-PS,p004,f_mel,0.04,0.0172,0.5687285934682528,True
V2R-PS,p004,f_mel,0.06,0.0258,0.48988555425450164,True
V2R-PS,p004,f_mel,0.08,0.0344,0.414830870105381,True
V2R-PS,p004,f_mel,0.1,0.043000000000000003,0.34362091143060297,True
V2R-PS,p004,f_mel,0.12,0.0516,0.276559255185875,True
V2R-PS,p004,f_mel,0.14,0.060200000000000004,0.21448758707353752,True
V2R-PS,p004,f_mel,0.16,0.0688,0.15838976290722284,True
V2R-PS,p004,f_mel,0.18,0.0774,0.1091158148084415,True
V2R-PS,p004,f_mel,0.2,0.08600000000000001,0.07175117636445869,True
V2R-PS,p004,f_mel,0.22,0.0946,0.05625355093583497,True
V2R-PS,p004,f_mel,0.22953512247690933,0.09870010266507101,0.05437703539995421,True
V2R-PS,p004,f_mel,0.24,0.1032,0.05668664264899823,True
V2R-PS,p004,f_mel,0.26,0.1118,0.07204831576356803,True
V2R-PS,p004,f_mel,0.28,0.12040000000000001,0.09836013128330506,True
V2R-PS,p004,f_mel,0.3,0.129,0.1316489280186101,True
V2R-PS,p004,f_mel,0.32,0.1376,0.1694979809939411,True
V2R-PS,p004,f_mel,0.34,0.1462,0.21339728127760807,True
V2R-PS,p004,f_mel,0.36,0.1548,0.2602423493954279,True
V2R-PS,p004,f_mel,0.38,0.1634,0.3078433167862572,True
V2R-PS,p004,f_mel,0.4,0.17200000000000001,0.3552325678034439,True
V2R-PS,p004,f_mel,0.42,0.18059999999999998,0.4019550022024017,True
V2R-PS,p004,f_mel,0.44,0.1892,0.44778896717085775,True
V2R-PS,p004,f_mel,0.46,0.1978,0.4926278183159028,True
V2R-PS,p004,f_mel,0.48,0.2064,0.5364252445549,True
V2R-PS,p004,f_mel,0.5,0.215,0.5791680878393848,True
V2R-PS,p004,f_mel,0.52,0.2236,0.6208619728566616,True
V2R-PS,p004,f_mel,0.54,0.23220000000000002,0.6615233194746627,True
V2R-PS,p004,f_mel,0.56,0.24080000000000001,0.7011747218906447,True
V2R-PS,p004,f_mel,0.58,0.24939999999999998,0.7398421909113699,True
V2R-PS,p004,f_mel,0.6,0.258,0.7775534696895137,True
V2R-PS,p004,f_mel,0.62,0.2666,0.8143369891465295,True
V2R-PS,p004,f_mel,0.64,0.2752,0.8502212154174684,True
V2R-PS,p004,f_mel,0.66,0.2838,0.885234243099198,True
V2R-PS,p004,f_mel,0.68,0.2924,0.9194035454680637,True
V2R-PS,p004,f_mel,0.7000000000000001,0.30100000000000005,0.9527558263240961,True
V2R-PS,p004,f_mel,0.72,0.3096,0.9853169382507143,True
V2R-PS,p004,f_mel,0.74,0.3182,1.017111844474968,True
V2R-PS,p004,f_mel,0.76,0.3268,1.0481646093203125,True
V2R-PS,p004,f_mel,0.78,0.33540000000000003,1.0784984072572201,True
V2R-PS,p004,f_mel,0.8,0.34400000000000003,1.108135543831352,True
V2R-PS,p004,f_mel,0.8200000000000001,0.3526,1.1370974839202934,True
V2R-PS,p004,f_mel,0.84,0.36119999999999997,1.1654048842282099,True
V2R-PS,p004,f_mel,0.86,0.36979999999999996,1.193077627918334,True
V2R-PS,p004,f_mel,0.88,0.3784,1.2201348599621207,True
V2R-PS,p004,f_mel,0.9,0.387,1.2465950222528253,True
V2R-PS,p004,f_mel,0.92,0.3956,1.2724758878571294,True
V2R-PS,p004,f_mel,0.9400000000000001,0.4042,1.297794594003173,True
V2R-PS,p004,f_mel,0.96,0.4128,1.3225676735687584,True
V2R-PS,p004,f_mel,0.98,0.4214,1.3468110849313533,True
V2R-PS,p004,f_mel,1.0,0.43,1.37054024013074,True
V2R-PS,p004,f_blood,0.0,0.0,0.11673079027789585,True
V2R-PS,p004,f_blood,0.02,0.002,0.1061004150448306,True
V2R-PS,p004,f_blood,0.04,0.004,0.09858102156154264,True
V2R-PS,p004,f_blood,0.06,0.006,0.09264009340827102,True
V2R-PS,p004,f_blood,0.08,0.008,0.08771298356879158,True
V2R-PS,p004,f_blood,0.1,0.010000000000000002,0.08351300791688017,True
V2R-PS,p004,f_blood,0.12,0.012,0.0798707245125713,True
V2R-PS,p004,f_blood,0.14,0.014000000000000002,0.07667598750578075,True
V2R-PS,p004,f_blood,0.16,0.016,0.07385229997557942,True
V2R-PS,p004,f_blood,0.18,0.018,0.07134385564876501,True
V2R-PS,p004,f_blood,0.2,0.020000000000000004,0.06910834453258717,True
V2R-PS,p004,f_blood,0.22,0.022000000000000002,0.06711266608367415,True
V2R-PS,p004,f_blood,0.24,0.024,0.06533023095554663,True
V2R-PS,p004,f_blood,0.26,0.026000000000000002,0.06373918727815472,True
V2R-PS,p004,f_blood,0.28,0.028000000000000004,0.06232121337477134,True
V2R-PS,p004,f_blood,0.3,0.03,0.06106067265377804,True
V2R-PS,p004,f_blood,0.32,0.032,0.05994400854055166,True
V2R-PS,p004,f_blood,0.34,0.034,0.05895930340465859,True
V2R-PS,p004,f_blood,0.36,0.036,0.058095952421291994,True
V2R-PS,p004,f_blood,0.38,0.038000000000000006,0.057344419693724905,True
V2R-PS,p004,f_blood,0.4,0.04000000000000001,0.05669605424648775,True
V2R-PS,p004,f_blood,0.42,0.042,0.05614295014784741,True
V2R-PS,p004,f_blood,0.44,0.044000000000000004,0.055677839443501666,True
V2R-PS,p004,f_blood,0.46,0.046000000000000006,0.05529400960865719,True
V2R-PS,p004,f_blood,0.48,0.048,0.054985239351159024,True
V2R-PS,p004,f_blood,0.5,0.05,0.05474574813051347,True
V2R-PS,p004,f_blood,0.52,0.052000000000000005,0.05457015588818754,True
V2R-PS,p004,f_blood,0.54,0.054000000000000006,0.054453450335442556,True
V2R-PS,p004,f_blood,0.56,0.05600000000000001,0.05439095979509748,True
V2R-PS,p004,f_blood,0.5752753342310172,0.05752753342310172,0.05437703539995422,True
V2R-PS,p004,f_blood,0.58,0.057999999999999996,0.05437833009524124,True
V2R-PS,p004,f_blood,0.6,0.06,0.05441150440160105,True
V2R-PS,p004,f_blood,0.62,0.062,0.0544867051760834,True
V2R-PS,p004,f_blood,0.64,0.064,0.05460041768040066,True
V2R-PS,p004,f_blood,0.66,0.066,0.05474937461976694,True
V2R-PS,p004,f_blood,0.68,0.068,0.0549305416535934,True
V2R-PS,p004,f_blood,0.7000000000000001,0.07,0.055141103597017425,True
V2R-PS,p004,f_blood,0.72,0.072,0.05537845120645328,True
V2R-PS,p004,f_blood,0.74,0.074,0.05564016849034599,True
V2R-PS,p004,f_blood,0.76,0.07600000000000001,0.05592402051803355,True
V2R-PS,p004,f_blood,0.78,0.07800000000000001,0.05622794171923569,True
V2R-PS,p004,f_blood,0.8,0.08000000000000002,0.05655002467751145,True
V2R-PS,p004,f_blood,0.8200000000000001,0.08200000000000002,0.05688850942569638,True
V2R-PS,p004,f_blood,0.84,0.084,0.057241773251874344,True
V2R-PS,p004,f_blood,0.86,0.08600000000000001,0.05760832102238835,True
V2R-PS,p004,f_blood,0.88,0.08800000000000001,0.057986776024883196,True
V2R-PS,p004,f_blood,0.9,0.09000000000000001,0.05837587133019852,True
V2R-PS,p004,f_blood,0.92,0.09200000000000001,0.05877444166765195,True
V2R-PS,p004,f_blood,0.9400000000000001,0.09400000000000001,0.05918141580421402,True
V2R-PS,p004,f_blood,0.96,0.096,0.0595958094145091,True
V2R-PS,p004,f_blood,0.98,0.098,0.06001671842556909,True
V2R-PS,p004,f_blood,1.0,0.1,0.06044331281787758,True
V2R-PS,p004,s,0.0,0.0,0.06994927623736132,True
V2R-PS,p004,s,0.02,0.02,0.06949299123045964,True
V2R-PS,p004,s,0.04,0.04,0.0690331662285145,True
V2R-PS,p004,s,0.06,0.06,0.06856990985572178,True
V2R-PS,p004,s,0.08,0.08,0.06810334869558032,True
V2R-PS,p004,s,0.1,0.1,0.06763362929447063,True
V2R-PS,p004,s,0.12,0.12,0.06716092038536638,True
V2R-PS,p004,s,0.14,0.14,0.0666854153559145,True
V2R-PS,p004,s,0.16,0.16,0.0662073349879867,True
V2R-PS,p004,s,0.18,0.18,0.06572693049851423,True
V2R-PS,p004,s,0.2,0.2,0.06524448691397344,True
V2R-PS,p004,s,0.22,0.22,0.0647603268147014,True
V2R-PS,p004,s,0.24,0.24,0.06427481448796725,True
V2R-PS,p004,s,0.26,0.26,0.06378836053196991,True
V2R-PS,p004,s,0.28,0.28,0.06330142695652244,True
V2R-PS,p004,s,0.3,0.3,0.06281453282896036,True
V2R-PS,p004,s,0.32,0.32,0.06232826051654946,True
V2R-PS,p004,s,0.34,0.34,0.06184326257871365,True
V2R-PS,p004,s,0.36,0.36,0.06136026936329686,True
V2R-PS,p004,s,0.38,0.38,0.06088009736060792,True
V2R-PS,p004,s,0.4,0.4,0.06040365836619845,True
V2R-PS,p004,s,0.42,0.42,0.05993196949753534,True
V2R-PS,p004,s,0.44,0.44,0.05946616409979692,True
V2R-PS,p004,s,0.46,0.46,0.059007503560395594,True
V2R-PS,p004,s,0.48,0.48,0.05855739002875973,True
V2R-PS,p004,s,0.5,0.5,0.058117380005101506,True
V2R-PS,p004,s,0.52,0.52,0.057689198716137875,True
V2R-PS,p004,s,0.54,0.54,0.05727475513393272,True
V2R-PS,p004,s,0.56,0.56,0.05687615741123409,True
V2R-PS,p004,s,0.58,0.58,0.05649572839809806,True
V2R-PS,p004,s,0.6,0.6,0.056136020763927645,True
V2R-PS,p004,s,0.62,0.62,0.05579983106963648,True
V2R-PS,p004,s,0.64,0.64,0.055490211909186106,True
V2R-PS,p004,s,0.66,0.66,0.05521048096134943,True
V2R-PS,p004,s,0.68,0.68,0.054964225455697444,True
V2R-PS,p004,s,0.7000000000000001,0.7000000000000001,0.05475530015956086,True
V2R-PS,p004,s,0.72,0.72,0.05458781654012279,True
V2R-PS,p004,s,0.74,0.74,0.054466120265267995,True
V2R-PS,p004,s,0.76,0.76,0.05439475371622459,True
V2R-PS,p004,s,0.7757016801510791,0.7757016801510791,0.054377035399954185,True
V2R-PS,p004,s,0.78,0.78,0.05437839976426814,True
V2R-PS,p004,s,0.8,0.8,0.054421802829629766,True
V2R-PS,p004,s,0.8200000000000001,0.8200000000000001,0.054529663373831395,True
V2R-PS,p004,s,0.84,0.84,0.054706502734059366,True
V2R-PS,p004,s,0.86,0.86,0.05495649691956151,True
V2R-PS,p004,s,0.88,0.88,0.05528328101374731,True
V2R-PS,p004,s,0.9,0.9,0.05568973043293529,True
V2R-PS,p004,s,0.92,0.92,0.05617773145263159,True
V2R-PS,p004,s,0.9400000000000001,0.9400000000000001,0.056747960492701116,True
V2R-PS,p004,s,0.96,0.96,0.057399698146945816,True
V2R-PS,p004,s,0.98,0.98,0.058130707469379095,True
V2R-PS,p004,s,1.0,1.0,0.05893720390637133,True
V2R-PS,p005,f_mel,0.0,0.0,0.85915032050652,True
V2R-PS,p005,f_mel,0.02,0.0086,0.7726257802280443,True
V2R-PS,p005,f_mel,0.04,0.0172,0.690020799751538,True
V2R-PS,p005,f_mel,0.06,0.0258,0.6111125403091487,True
V2R-PS,p005,f_mel,0.08,0.0344,0.5357276159701433,True
V2R-PS,p005,f_mel,0.1,0.043000000000000003,0.46374746778173276,True
V2R-PS,p005,f_mel,0.12,0.0516,0.39512654021129673,True
V2R-PS,p005,f_mel,0.14,0.060200000000000004,0.329934934715481,True
V2R-PS,p005,f_mel,0.16,0.0688,0.2684560177795101,True
V2R-PS,p005,f_mel,0.18,0.0774,0.21142289445155307,True
V2R-PS,p005,f_mel,0.2,0.08600000000000001,0.16009238275273152,True
V2R-PS,p005,f_mel,0.22,0.0946,0.1143881831527342,True
V2R-PS,p005,f_mel,0.24,0.1032,0.07676622421491425,True
V2R-PS,p005,f_mel,0.26,0.1118,0.05652548864943575,True
V2R-PS,p005,f_mel,0.26360454176744247,0.11334995296000026,0.05598168650482221,True
V2R-PS,p005,f_mel,0.28,0.12040000000000001,0.06087862960456337,True
V2R-PS,p005,f_mel,0.3,0.129,0.07715852073754277,True
V2R-PS,p005,f_mel,0.32,0.1376,0.10243925055456506,True
V2R-PS,p005,f_mel,0.34,0.1462,0.1328605775231707,True
V2R-PS,p005,f_mel,0.36,0.1548,0.16647588720139486,True
V2R-PS,p005,f_mel,0.38,0.1634,0.2031799001560899,True
V2R-PS,p005,f_mel,0.4,0.17200000000000001,0.24385869375739633,True
V2R-PS,p005,f_mel,0.42,0.18059999999999998,0.2863246920599438,True
V2R-PS,p005,f_mel,0.44,0.1892,0.3292814918313459,True
V2R-PS,p005,f_mel,0.46,0.1978,0.37207151573798325,True
V2R-PS,p005,f_mel,0.48,0.2064,0.4143476775333956,True
V2R-PS,p005,f_mel,0.5,0.215,0.4559223895485848,True
V2R-PS,p005,f_mel,0.52,0.2236,0.4966945817795807,True
V2R-PS,p005,f_mel,0.54,0.23220000000000002,0.5366123420318554,True
V2R-PS,p005,f_mel,0.56,0.24080000000000001,0.5756527377318776,True
V2R-PS,p005,f_mel,0.58,0.24939999999999998,0.6138103945824445,True
V2R-PS,p005,f_mel,0.6,0.258,0.6510907687418254,True
V2R-PS,p005,f_mel,0.62,0.2666,0.6875060491664484,True
V2R-PS,p005,f_mel,0.64,0.2752,0.7230725921876519,True
V2R-PS,p005,f_mel,0.66,0.2838,0.7578092792492347,True
V2R-PS,p005,f_mel,0.68,0.2924,0.7917364472317024,True
V2R-PS,p005,f_mel,0.7000000000000001,0.30100000000000005,0.8248751828955113,True
V2R-PS,p005,f_mel,0.72,0.3096,0.8572468538731551,True
V2R-PS,p005,f_mel,0.74,0.3182,0.8888727961212395,True
V2R-PS,p005,f_mel,0.76,0.3268,0.9197741064351281,True
V2R-PS,p005,f_mel,0.78,0.33540000000000003,0.9499715063710948,True
V2R-PS,p005,f_mel,0.8,0.34400000000000003,0.9794852551575882,True
V2R-PS,p005,f_mel,0.8200000000000001,0.3526,1.0083350964361741,True
V2R-PS,p005,f_mel,0.84,0.36119999999999997,1.036540228444015,True
V2R-PS,p005,f_mel,0.86,0.36979999999999996,1.0641192904399903,True
V2R-PS,p005,f_mel,0.88,0.3784,1.0910903603397302,True
V2R-PS,p005,f_mel,0.9,0.387,1.1174709600113437,True
V2R-PS,p005,f_mel,0.92,0.3956,1.1432780657168127,True
V2R-PS,p005,f_mel,0.9400000000000001,0.4042,1.1685281219096795,True
V2R-PS,p005,f_mel,0.96,0.4128,1.1932370571139121,True
V2R-PS,p005,f_mel,0.98,0.4214,1.2174203009761233,True
V2R-PS,p005,f_mel,1.0,0.43,1.241092801847399,True
V2R-PS,p005,f_blood,0.0,0.0,0.13160669352645984,True
V2R-PS,p005,f_blood,0.02,0.002,0.12179137345628901,True
V2R-PS,p005,f_blood,0.04,0.004,0.11470403144695764,True
V2R-PS,p005,f_blood,0.06,0.006,0.10902316541935571,True
V2R-PS,p005,f_blood,0.08,0.008,0.10424343915441905,True
V2R-PS,p005,f_blood,0.1,0.010000000000000002,0.1001062329641341,True
V2R-PS,p005,f_blood,0.12,0.012,0.09645793031610264,True
V2R-PS,p005,f_blood,0.14,0.014000000000000002,0.0931983253808185,True
V2R-PS,p005,f_blood,0.16,0.016,0.09025768968885768,True
V2R-PS,p005,f_blood,0.18,0.018,0.08758514930213084,True
V2R-PS,p005,f_blood,0.2,0.020000000000000004,0.08514221504110323,True
V2R-PS,p005,f_blood,0.22,0.022000000000000002,0.0828989176697607,True
V2R-PS,p005,f_blood,0.24,0.024,0.08083136840617025,True
V2R-PS,p005,f_blood,0.26,0.026000000000000002,0.07892014952017248,True
V2R-PS,p005,f_blood,0.28,0.028000000000000004,0.07714921338867922,True
V2R-PS,p005,f_blood,0.3,0.03,0.07550510625854065,True
V2R-PS,p005,f_blood,0.32,0.032,0.07397640676437597,True
V2R-PS,p005,f_blood,0.34,0.034,0.0725533107857431,True
V2R-PS,p005,f_blood,0.36,0.036,0.07122731862604523,True
V2R-PS,p005,f_blood,0.38,0.038000000000000006,0.06999099536114357,True
V2R-PS,p005,f_blood,0.4,0.04000000000000001,0.06883778455574588,True
V2R-PS,p005,f_blood,0.42,0.042,0.06776186159276601,True
V2R-PS,p005,f_blood,0.44,0.044000000000000004,0.06675801686925369,True
V2R-PS,p005,f_blood,0.46,0.046000000000000006,0.06582156182835246,True
V2R-PS,p005,f_blood,0.48,0.048,0.06494825267335012,True
V2R-PS,p005,f_blood,0.5,0.05,0.06413422792976317,True
V2R-PS,p005,f_blood,0.52,0.052000000000000005,0.06337595696475448,True
V2R-PS,p005,f_blood,0.54,0.054000000000000006,0.06267019725743146,True
V2R-PS,p005,f_blood,0.56,0.05600000000000001,0.062013958716617225,True
V2R-PS,p005,f_blood,0.58,0.057999999999999996,0.061404473717184715,True
V2R-PS,p005,f_blood,0.6,0.06,0.060839171808106156,True
V2R-PS,p005,f_blood,0.62,0.062,0.06031565826014441,True
